tag	host	gpu	pid	start_utc	end_utc	secs	rc	status	artifact	log	cmd
van_s2	lux-2-node-16	2	1123637	2026-08-17T16:46:05Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s2.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s2.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s2 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 2 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s0	lux-2-node-16	3	1123638	2026-08-17T16:46:05Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s0.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 0 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s1	lux-2-node-16	4	1123640	2026-08-17T16:46:05Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s1.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s1.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s1 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 1 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
van_s1	lux-2-node-16	1	1123639	2026-08-17T16:46:05Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s1.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s1.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s1 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 1 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
van_s0	lux-2-node-16	0	1123642	2026-08-17T16:46:05Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s0.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 0 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s2	lux-2-node-16	5	1123647	2026-08-17T16:46:05Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s2.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s2.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s2 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 2 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s3	lux-2-node-16	7	1168467	2026-08-17T17:20:31Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s3.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s3.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s3 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 3 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
van_s3	lux-2-node-16	6	1168468	2026-08-17T17:20:31Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s3.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s3.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s3 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 3 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
van_s3	lux-2-node-16	6	1168468	2026-08-17T17:20:31Z	2026-08-17T17:20:37Z	6	1	FAILED(rc=1)	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s3.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s3.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s3 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 3 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s3	lux-2-node-16	7	1168467	2026-08-17T17:20:31Z	2026-08-17T17:20:38Z	7	1	FAILED(rc=1)	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s3.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s3.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s3 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 3 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s2	lux-2-node-16	5	1123647	2026-08-17T16:46:05Z	2026-08-17T18:04:54Z	4729	143	FAILED(rc=143)	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s2.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s2.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s2 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 2 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s1	lux-2-node-16	4	1123640	2026-08-17T16:46:05Z	2026-08-17T18:04:54Z	4729	143	FAILED(rc=143)	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s1.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s1.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s1 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 1 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s1	lux-2-node-16	4	1123640		2026-08-17T18:05:06Z			KILLED(freed for user peng)			
diffv2_s2	lux-2-node-16	5	1123647		2026-08-17T18:05:06Z			KILLED(freed for user peng)			
van_s0	lux-2-node-16	0	1123642	2026-08-17T16:46:05Z	2026-08-17T18:54:14Z	7689	0	DONE(rc=0) nll=3.6113	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s0.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 0 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
