[probe] ckpt=/work/mingze/Posthoc_differential_memory/out_diffsplit_20260814/split_local256_fixed_s0_diff.pt
[probe] diff_config={'layers': [0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33], 'read_dim': 128, 'window': 256, 'gamma': 1.0, 'dynamic_gate': False}
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 10235.91it/s]
Using the latest cached version of the dataset since allenai/qasper couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'default' at /home/mingze/.cache/huggingface/datasets/allenai___qasper/default/0.0.0/06806e4608976fc2fac0a090ac425d5b2b29caf4 (last modified on Tue Jul 28 03:00:47 2026).
[probe] 24 real val examples

=== ZERO-INIT (delta_q = 0, must be exactly 0 divergence) ===
layer       branch_cos   branch_div_rel   correction_rel      delta_q_rel       gamma_mean
    0         1.000000         0.000000         0.000000         0.000000         1.000000
    3         1.000000         0.000000         0.000000         0.000000         1.000000
    6         1.000000         0.000000         0.000000         0.000000         1.000000
    9         1.000000         0.000000         0.000000         0.000000         1.000000
   12         1.000000         0.000000         0.000000         0.000000         1.000000
   15         1.000000         0.000000         0.000000         0.000000         1.000000
   18         1.000000         0.000000         0.000000         0.000000         1.000000
   21         1.000000         0.000000         0.000000         0.000000         1.000000
   24         1.000000         0.000000         0.000000         0.000000         1.000000
   27         1.000000         0.000000         0.000000         0.000000         1.000000
   30         1.000000         0.000000         0.000000         0.000000         1.000000
   33         1.000000         0.000000         0.000000         0.000000         1.000000
MEAN          1.000000         0.000000         0.000000         0.000000         1.000000

[probe] loaded 36 trained tensors

=== TRAINED ===
layer       branch_cos   branch_div_rel   correction_rel      delta_q_rel       gamma_mean
    0         0.999978         0.003600         0.003597         0.001221         1.000000
    3         0.998482         0.037924         0.037919         0.016953         1.000000
    6         0.997457         0.046512         0.046507         0.014568         1.000000
    9         0.998001         0.043844         0.043839         0.018877         1.000000
   12         0.987425         0.114944         0.114940         0.039237         1.000000
   15         0.978398         0.117874         0.117869         0.070578         1.000000
   18         0.955959         0.176564         0.176560         0.141886         1.000000
   21         0.983230         0.135323         0.135318         0.049737         1.000000
   24         0.969410         0.227685         0.227682         0.151533         1.000000
   27         0.984558         0.175287         0.175281         0.044916         1.000000
   30         0.937617         0.379438         0.379433         0.068605         1.000000
   33         0.867738         0.766128         0.766124         0.370099         1.000000
MEAN          0.971521         0.185427         0.185422         0.082351         1.000000

=== TRAINED + zeroed local window ===
layer       branch_cos   branch_div_rel   correction_rel      delta_q_rel       gamma_mean
    0         1.000000         0.000000         0.000000         0.000000         1.000000
    3         1.000000         0.000000         0.000000         0.000000         1.000000
    6         1.000000         0.000000         0.000000         0.000000         1.000000
    9         1.000000         0.000000         0.000000         0.000000         1.000000
   12         1.000000         0.000000         0.000000         0.000000         1.000000
   15         1.000000         0.000000         0.000000         0.000000         1.000000
   18         1.000000         0.000000         0.000000         0.000000         1.000000
   21         1.000000         0.000000         0.000000         0.000000         1.000000
   24         1.000000         0.000000         0.000000         0.000000         1.000000
   27         1.000000         0.000000         0.000000         0.000000         1.000000
   30         1.000000         0.000000         0.000000         0.000000         1.000000
   33         1.000000         0.000000         0.000000         0.000000         1.000000
MEAN          1.000000         0.000000         0.000000         0.000000         1.000000

=== TRAINED + causally-permuted local window ===
layer       branch_cos   branch_div_rel   correction_rel      delta_q_rel       gamma_mean
    0         0.999978         0.003559         0.003557         0.001207         1.000000
    3         0.999747         0.015388         0.015382         0.006792         1.000000
    6         0.999787         0.015281         0.015275         0.004888         1.000000
    9         0.999642         0.019499         0.019494         0.008820         1.000000
   12         0.998019         0.041181         0.041176         0.014101         1.000000
   15         0.997972         0.037531         0.037526         0.022557         1.000000
   18         0.998766         0.032371         0.032366         0.024106         1.000000
   21         0.995840         0.066573         0.066568         0.027111         1.000000
   24         0.995586         0.078700         0.078696         0.050518         1.000000
   27         0.996036         0.091134         0.091129         0.033711         1.000000
   30         0.966517         0.252306         0.252303         0.047197         1.000000
   33         0.982963         0.205845         0.205841         0.102759         1.000000
MEAN          0.994238         0.071614         0.071609         0.028647         1.000000

[probe] wrote /work/mingze/Posthoc_differential_memory/out_cpt_20260817/divergence_causal_shuffle_s0.json
